key,ticker,company,year,sector,digital,digital_msu,all_body_mentions_company,all_title_mentions_company,log_assets,roa,debt_to_assets,revenue_growth,cash_to_assets,capex_to_assets,total_assets,revenue,capex,debt
BANE_2020,BANE,Башнефть,2020,Oil & Gas,0.00209739439081449,0.0012100352254699,1,0,27.3923831437,-0.014,0.175955312936,-0.376784460566,0.0200583978672,0.0850577631078,787700000000,532600000000,67000000000,138600000000
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BANE_2023,BANE,Башнефть,2023,Oil & Gas,0.0032772007663607,0.0047393364928909,49,0,27.750580351,0.157409050577,,0.492407809111,,0.0581188997338,1127000000000,1032000000000,65500000000,
,,,,,,,,,,,,,,,,,,
CHMF_2020,CHMF,Северсталь,2020,Metals & Mining,0.00392350400987045,0.00180135718692165,11,1,27.0266171452,0.137,3.53221083455e-10,-0.0790521327014,0.0788799414348,0.174414348463,546400000000,485800000000,95300000000,193
CHMF_2021,CHMF,Северсталь,2021,Metals & Mining,0.00430586488492947,0.00197970799307102,5,0,27.1911198305,0.465145163794,0.209439528024,0.7198,0.0481291724887,0.132277596646,644100000000,835500000000,85200000000,134900000000
CHMF_2022,CHMF,Северсталь,2022,Metals & Mining,0.002426614481409,0.0042270058708414,4,1,27.3163103711,0.148493150685,0.139178082192,-0.183482944345,0.255068493151,0.0930136986301,730000000000,682200000000,67900000000.00001,101600000000
CHMF_2023,CHMF,Северсталь,2023,Metals & Mining,0.0024951878519997,0.0042061738076566,12,1,27.6250030436,0.195070422535,0.164084507042,0.0675754910583,0.375855130785,0.0730382293763,994000000000,728300000000,72600000000,163100000000
CHMF_2024,CHMF,Северсталь,2024,Metals & Mining,0.0020507743441057,0.003747966904745,9,0,27.4822890621,0.17359016013,0.125899280576,0.139365646025,0.149222557438,0.137502900905,861800000000,829800000000,118500000000,108500000000
DSKY_2020,DSKY,Детский мир,2020,Retail,0.00673693917542938,0.00523841848431676,3,2,25.2979768154,0.0865979381443,0.20412371134,0.1095,0.0185567010309,0.0247422680412,97000000000,142900000000,2400000000,19800000000
DSKY_2021,DSKY,Детский мир,2021,Retail,0.0078426423394512,0.00683301481988966,6,0,25.4939504614,0.0872881355932,0.244915254237,0.149755073478,0.0322033898305,0.0445762711864,118000000000,164300000000,5260000000,28900000000
DSKY_2022,DSKY,Детский мир,2022,Retail,0.0042099507927829,0.0062329141607435,5,3,25.5190563825,,0.23305785124,,0.0401652892562,,121000000000,,,28200000000
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FEES_2020,FEES,Россети / ФСК ЕЭС,2020,Energy,0.00588235294117647,0.00297680310347558,2,0,28.868235254,-0.043,2.15264074289e-9,0.0920957215373,0.0677016831109,0.160679048172,3446000000000,1506000000000,553700000000,7418
FEES_2021,FEES,Россети / ФСК ЕЭС,2021,Energy,0.0069212651899374,0.0084962503792968,3,0,28.7039736578,0.0454172366621,0.222058823529,0.2178,0.0668262653899,0.124076607387,2924000000000,1182000000000,362800000000,649300000000
